"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[1]",0.207654485159469,0.0561930848368958,0.0953937651484253,0.17110633559312,0.208067056931894,0.24382999927579,0.318654165935574,1.00521819355273,2000
"b[2]",0.479950789756138,0.0552908751134713,0.370396957240505,0.443299782808555,0.479385432579321,0.515333052679743,0.590783201638646,1.00258056871775,960
"b[3]",0.636829561451624,0.0587363017147269,0.520750915472561,0.597889444560509,0.635584305314957,0.677161944070395,0.75016978252894,1.0016558046661,1700
"b[4]",0.670369779116966,0.0605368206988909,0.550024798242238,0.630597865823891,0.67005329528738,0.710301907050707,0.793391805979717,1.00159077887624,1800
"b[5]",0.774897325235381,0.0602336876184544,0.657397581298697,0.734761519752055,0.775465987462155,0.814959786277518,0.895777130923137,1.00149670555901,2000
"b[6]",0.822999114223296,0.0541860865342309,0.71718610722893,0.7867093306605,0.822156542073679,0.859460986855049,0.928487754263302,1.00266685199674,920
"b[7]",0.840832111123787,0.0517450005998168,0.739816502503823,0.806154848922431,0.840226954698484,0.875033377730432,0.941780628506776,1.00259223300883,960
"b[8]",0.848411037658604,0.0582146482838489,0.733725213686908,0.810106955071063,0.849193484024728,0.887498270532086,0.961043803254327,1.00303954890074,790
"b[9]",0.721619365312292,0.375313682443452,-0.0110429771565975,0.465886129380267,0.720738639735919,0.962814165524573,1.47622918467095,1.00075837404789,3000
"b[10]",0.149554616538575,0.15698656086664,-0.156070620955673,0.0422932367279177,0.147527747554662,0.258335613853912,0.456890042938957,1.00119173624167,2900
"b[11]",0.123964724620267,0.16055164645933,-0.186093470693036,0.0203088414208364,0.125251108313805,0.231167595176374,0.437356674901895,1.0012320356195,2700
"b[12]",0.307413176166806,0.156940150649525,-0.00447967552898893,0.202144323266467,0.304615438772219,0.413592369894915,0.617283861300689,1.00121478922862,2800
"b[13]",0.00147828114713192,0.143914140257343,-0.273334740081558,-0.0962919799843756,0.00145848806587752,0.0991387699149039,0.279276626678222,1.00095236235451,3000
"b[14]",-0.102159831924143,0.197720796819638,-0.482118242251257,-0.237889046457568,-0.104637314953634,0.0353469881987174,0.284467415505617,1.00095219069058,3000
"b[15]",0.0813588212976427,0.241147274692697,-0.376655359034446,-0.0755413054573282,0.074688525349983,0.241946543739221,0.547653483457048,1.00081462710557,3000
"b[16]",0.0243095108557326,0.124970101694955,-0.226441238515178,-0.0600799088888383,0.0267551432758506,0.109937407035099,0.270833026236049,1.00197885108892,1400
"b[17]",0.147507169289472,0.132292037420033,-0.111632817206492,0.0568707660714196,0.149065056031857,0.236636142363623,0.403711430302524,1.00102321110378,3000
"b[18]",0.108032342354799,0.364539707572135,-0.60464117774222,-0.135120624324373,0.106344583225475,0.349133143884945,0.840859475405684,1.00098130642272,3000
"b[19]",0.208362514045218,0.176100383038557,-0.144286364474094,0.090527764818172,0.212417204483503,0.324565345090053,0.5447415963127,1.00104383595684,3000
"b[20]",0.166207228396215,0.141727758719069,-0.114451786232771,0.0703447984499107,0.166199372011725,0.259335934344164,0.440441244595439,1.00145682982822,2100
"b[21]",-0.0304299699446878,0.140526418131807,-0.300122775755903,-0.122851676006092,-0.0340471366867383,0.0658984814330432,0.247690503609338,1.00246231550066,1000
"b[22]",-0.00044331474372821,0.171946629821543,-0.346323249830922,-0.112174249605608,-0.000134187685547148,0.111254944638894,0.331375444441866,1.00124324799744,2700
"b[23]",-0.00910261123404888,0.156778445393524,-0.315775411676677,-0.113686952077561,-0.0084330652495923,0.0969788607778744,0.291609360768132,1.00166831419156,1700
"b[24]",-0.185214183735606,0.192992873610027,-0.560575333602356,-0.310125700290996,-0.183925981910808,-0.0580303125784529,0.198362238832407,1.00081540832639,3000
