age_group,year,median,lower,upper,age_group_cat,STATEFIP,bpl,no_mig,prop_mig,pop,state_fip,state,origin_original,origin,df,se,se_log,se_logit
20,2007,0.02954431031937891,0.02216603625309823,0.03967600640110324,20-24,1,200,5081,0.03193508648431215,159104,01,Alabama,Mexico,Mexico,2.2,0.0096490824459774,0.3021467454211353,0.31211413739171623
20,2008,0.030115988966610132,0.0227946404905485,0.0398788541246503,20-24,1,200,5718,0.03551089609429826,161021,01,Alabama,Mexico,Mexico,2.2,0.010095515432817784,0.28429345759142227,0.2947606732312216
20,2009,0.03016043130750562,0.023032343065357796,0.03935098410152399,20-24,1,200,5459,0.032944683830008085,165702,01,Alabama,Mexico,Mexico,2,0.008725735578439012,0.2648602009193078,0.2738831962253024
20,2010,0.03068238882549803,0.023634337729777816,0.0400232710784054,20-24,1,200,6354,0.03754964069591528,169216,01,Alabama,Mexico,Mexico,2,0.009196423084056105,0.24491374387655615,0.2544689619666671
20,2011,0.02709811813190316,0.020474583036245504,0.03536747879481111,20-24,1,200,4703,0.027642591808905815,170136,01,Alabama,Mexico,Mexico,2,0.007909550950145528,0.28613637262469904,0.29427077966835996
20,2012,0.023979066798958722,0.01721456820988899,0.0322021447576531,20-24,1,200,2328,0.01350763285696879,172347,01,Alabama,Mexico,Mexico,1.9,0.005256610796784098,0.38915854853666193,0.3944871359356782
20,2013,0.022700152591190507,0.01644700501785993,0.030078392891044334,20-24,1,200,4538,0.02516399851389343,180337,01,Alabama,Mexico,Mexico,1.9,0.006972433537283566,0.27707971503153517,0.28423213197823627
20,2014,0.018982230562199363,0.013422004814913414,0.025848834686754262,20-24,1,200,2576,0.014596389433483301,176482,01,Alabama,Mexico,Mexico,1.9,0.005396979710755074,0.36974758280802683,0.3752245058199613
20,2015,0.016046404516689483,0.010744138335800797,0.022287512982489717,20-24,1,200,755,0.004475294006069803,168704,01,Alabama,Mexico,Mexico,1.9,0.0030721705054092053,0.6864734476086816,0.6895594287871617
20,2016,0.014767564727765949,0.009473560817109174,0.021348098621399057,20-24,1,200,1382,0.008571712109559133,161228,01,Alabama,Mexico,Mexico,1.9,0.004340256600401779,0.5063465203831969,0.5107243020678782
